date	close
6-Jan-10	310.97
7-Jan-10	310.58
8-Jan-10	311.98
11-Jan-10	310.11
12-Jan-10	307.72
13-Jan-10	310.65
14-Jan-10	309.43
15-Jan-10	305.93
18-Jan-10	305.93
19-Jan-10	315.04
20-Jan-10	311.72
21-Jan-10	308.07
22-Jan-10	297.75
25-Jan-10	303.08
26-Jan-10	305.94
27-Jan-10	307.88
28-Jan-10	299.29
29-Jan-10	292.06
1-Feb-10	294.73
2-Feb-10	295.86
3-Feb-10	299.23
4-Feb-10	292.05
5-Feb-10	295.46
8-Feb-10	294.12
9-Feb-10	296.19
10-Feb-10	295.12
11-Feb-10	298.67
12-Feb-10	300.38
15-Feb-10	300.38
16-Feb-10	303.4
17-Feb-10	302.55
18-Feb-10	302.93
19-Feb-10	301.67
22-Feb-10	300.42
23-Feb-10	297.06
24-Feb-10	300.66
25-Feb-10	302
26-Feb-10	304.62
1-Mar-10	308.99
2-Mar-10	308.85
3-Mar-10	309.33
4-Mar-10	310.71
5-Mar-10	318.95
8-Mar-10	319.08
9-Mar-10	323.02
10-Mar-10	324.84
11-Mar-10	325.5
12-Mar-10	326.6
15-Mar-10	323.84
16-Mar-10	324.45
17-Mar-10	324.12
18-Mar-10	324.65
19-Mar-10	322.25
22-Mar-10	324.75
23-Mar-10	328.36
24-Mar-10	329.37
25-Mar-10	326.65
26-Mar-10	330.9
29-Mar-10	332.39
30-Mar-10	335.84
31-Mar-10	335
1-Apr-10	335.97
2-Apr-10	335.97
5-Apr-10	338.49
6-Apr-10	339.54
7-Apr-10	340.6
8-Apr-10	339.95
9-Apr-10	341.79
12-Apr-10	342.29
13-Apr-10	342.43
14-Apr-10	345.69
15-Apr-10	348.92
16-Apr-10	347.4
19-Apr-10	347.07
20-Apr-10	344.59
21-Apr-10	359.22
22-Apr-10	366.47
23-Apr-10	370.83
26-Apr-10	369.5
27-Apr-10	362.04
28-Apr-10	361.6
29-Apr-10	368.64
30-Apr-10	361.09
3-May-10	366.35
4-May-10	358.68
5-May-10	355.98
6-May-10	346.25
7-May-10	335.86
10-May-10	353.99
11-May-10	356.52
12-May-10	362.09
13-May-10	358.36
14-May-10	353.82
17-May-10	354.22
18-May-10	352.36
19-May-10	348.34
20-May-10	337.76
21-May-10	342.32
24-May-10	346.76
25-May-10	345.22
26-May-10	344.11
27-May-10	353.35
28-May-10	356.88
31-May-10	356.88
1-Jun-10	360.83
2-Jun-10	363.95
3-Jun-10	363.12
4-Jun-10	355.96
7-Jun-10	350.94
8-Jun-10	349.33
9-Jun-10	343.2
10-Jun-10	350.51
11-Jun-10	353.51
14-Jun-10	354.28
15-Jun-10	359.69
16-Jun-10	367.25
17-Jun-10	371.87
18-Jun-10	374.07
21-Jun-10	370.17
22-Jun-10	373.85
23-Jun-10	370.97
24-Jun-10	369
25-Jun-10	366.7
28-Jun-10	368.3
29-Jun-10	356.17
30-Jun-10	351.53
1-Jul-10	348.48
2-Jul-10	346.94
5-Jul-10	346.94
6-Jul-10	348.63
7-Jul-10	358.66
8-Jul-10	358.09
9-Jul-10	359.62
12-Jul-10	357.28
13-Jul-10	351.8
14-Jul-10	352.73
15-Jul-10	351.45
16-Jul-10	349.9
19-Jul-10	345.58
20-Jul-10	351.89
21-Jul-10	354.24
22-Jul-10	359.02
23-Jul-10	359.94
26-Jul-10	359.28
27-Jul-10	364.08
28-Jul-10	360.96
29-Jul-10	358.11
30-Jul-10	357.25
2-Aug-10	361.85
3-Aug-10	361.93
4-Aug-10	362.98
5-Aug-10	361.7
6-Aug-10	360.09
9-Aug-10	361.75
10-Aug-10	359.41
11-Aug-10	350.19
12-Aug-10	351.79
13-Aug-10	349.1
16-Aug-10	347.64
17-Aug-10	351.97
18-Aug-10	353.07
19-Aug-10	349.88
20-Aug-10	349.64
23-Aug-10	345.8
24-Aug-10	339.93
25-Aug-10	342.89
26-Aug-10	340.28
27-Aug-10	341.62
30-Aug-10	342.5
31-Aug-10	343.1
1-Sep-10	350.33
2-Sep-10	352.17
3-Sep-10	358.77
6-Sep-10	358.77
7-Sep-10	357.81
8-Sep-10	362.92
9-Sep-10	363.07
10-Sep-10	363.41
13-Sep-10	367.04
14-Sep-10	368.06
15-Sep-10	370.22
16-Sep-10	376.57
17-Sep-10	375.37
20-Sep-10	383.23
21-Sep-10	383.77
22-Sep-10	387.75
23-Sep-10	388.92
24-Sep-10	392.32
27-Sep-10	391.16
28-Sep-10	386.86
29-Sep-10	387.37
30-Sep-10	383.75
1-Oct-10	382.52
4-Oct-10	378.64
5-Oct-10	388.94
6-Oct-10	389.19
7-Oct-10	389.22
8-Oct-10	394.07
11-Oct-10	395.36
12-Oct-10	398.54
13-Oct-10	400.14
14-Oct-10	402.31
15-Oct-10	414.74
18-Oct-10	418
19-Oct-10	409.49
20-Oct-10	410.53
21-Oct-10	409.52
22-Oct-10	407.47
25-Oct-10	408.84
26-Oct-10	408.05
27-Oct-10	407.83
28-Oct-10	405.24
29-Oct-10	400.98
1-Nov-10	404.18
2-Nov-10	409.36
3-Nov-10	412.8
4-Nov-10	418.27
5-Nov-10	417.13
8-Nov-10	418.62
9-Nov-10	416.08
10-Nov-10	418.03
11-Nov-10	416.66
12-Nov-10	408.03
15-Nov-10	407.04
16-Nov-10	401.59
17-Nov-10	400.5
18-Nov-10	408.43
19-Nov-10	406.73
22-Nov-10	413.36
23-Nov-10	408.73
24-Nov-10	414.8
26-Nov-10	415
29-Nov-10	416.87
30-Nov-10	411.15
1-Dec-10	416.4
2-Dec-10	418.15
3-Dec-10	417.44
6-Dec-10	420.15
7-Dec-10	418.21
8-Dec-10	421.01
9-Dec-10	419.76
10-Dec-10	420.56
13-Dec-10	421.67
14-Dec-10	420.29
15-Dec-10	420.36
16-Dec-10	421.25
17-Dec-10	420.61
20-Dec-10	422.21
21-Dec-10	424.2
22-Dec-10	425.16
23-Dec-10	423.6
27-Dec-10	424.68
28-Dec-10	425.47
29-Dec-10	425.29
30-Dec-10	423.66
31-Dec-10	422.56
3-Jan-11	429.57
4-Jan-11	431.29
5-Jan-11	434
6-Jan-11	433.73
7-Jan-11	436.12
10-Jan-11	442.46
11-Jan-11	441.64
12-Jan-11	444.42
13-Jan-11	445.68
14-Jan-11	448.48
18-Jan-11	440.65
19-Jan-11	438.84
20-Jan-11	432.68
21-Jan-11	426.72
24-Jan-11	437.45
25-Jan-11	441.4
26-Jan-11	443.85
27-Jan-11	443.21
28-Jan-11	436.1
31-Jan-11	439.32
1-Feb-11	445.03
2-Feb-11	444.32
3-Feb-11	443.44
4-Feb-11	446.5
7-Feb-11	451.88
8-Feb-11	455.2
9-Feb-11	458.16
10-Feb-11	454.54
11-Feb-11	456.85
14-Feb-11	459.18
15-Feb-11	459.9
16-Feb-11	463.13
17-Feb-11	458.3
18-Feb-11	450.56
22-Feb-11	438.61
23-Feb-11	442.62
24-Feb-11	442.88
25-Feb-11	448.16
28-Feb-11	453.21
1-Mar-11	449.31
2-Mar-11	452.12
3-Mar-11	459.56
4-Mar-11	460
7-Mar-11	455.36
8-Mar-11	455.76
9-Mar-11	452.47
10-Mar-11	446.67
11-Mar-11	451.99
14-Mar-11	453.56
15-Mar-11	445.43
16-Mar-11	430.01
17-Mar-11	434.64
18-Mar-11	430.67
21-Mar-11	439.3
22-Mar-11	441.2
23-Mar-11	439.19
24-Mar-11	444.97
25-Mar-11	451.54
28-Mar-11	450.44
29-Mar-11	450.96
30-Mar-11	448.63
31-Mar-11	448.51
1-Apr-11	444.56
4-Apr-11	441.19
5-Apr-11	438.89
6-Apr-11	438.04
7-Apr-11	438.08
8-Apr-11	435.06
11-Apr-11	430.8
12-Apr-11	432.4
13-Apr-11	436.13
14-Apr-11	432.42
15-Apr-11	427.46
18-Apr-11	431.85
19-Apr-11	437.86
20-Apr-11	442.41
21-Apr-11	450.7
25-Apr-11	453.01
26-Apr-11	450.42
27-Apr-11	450.15
28-Apr-11	446.75
29-Apr-11	450.13
2-May-11	446.28
3-May-11	448.2
4-May-11	449.57
5-May-11	446.75
6-May-11	446.66
9-May-11	447.6
10-May-11	449.45
11-May-11	447.23
12-May-11	446.57
13-May-11	440.5
16-May-11	433.3
17-May-11	436.14
18-May-11	439.87
19-May-11	440.53
20-May-11	435.22
23-May-11	434.4
24-May-11	432.19
25-May-11	436.78
26-May-11	435
27-May-11	437.41
31-May-11	447.83
1-Jun-11	445.51
2-Jun-11	446.1
3-Jun-11	443.44
6-Jun-11	438.04
7-Jun-11	432.04
8-Jun-11	432.24
9-Jun-11	431.49
10-Jun-11	425.9
13-Jun-11	426.6
14-Jun-11	432.44
15-Jun-11	426.75
16-Jun-11	425.16
17-Jun-11	420.26
20-Jun-11	415.32
21-Jun-11	425.3
22-Jun-11	422.61
23-Jun-11	431.23
24-Jun-11	426.35
27-Jun-11	432.04
28-Jun-11	435.26
29-Jun-11	434.04
30-Jun-11	435.67
1-Jul-11	443.26
5-Jul-11	449.43
6-Jul-11	451.76
7-Jul-11	457.2
8-Jul-11	459.71
11-Jul-11	454
12-Jul-11	453.75
13-Jul-11	458.02
14-Jul-11	457.77
15-Jul-11	464.92
18-Jul-11	473.8
19-Jul-11	476.85
20-Jul-11	486.9
21-Jul-11	487.29
22-Jul-11	493.3
25-Jul-11	498.5
26-Jul-11	503.41
27-Jul-11	492.59
28-Jul-11	491.82
29-Jul-11	490.48
1-Aug-11	496.75
2-Aug-11	488.91
3-Aug-11	492.57
4-Aug-11	477.37
5-Aug-11	473.62
8-Aug-11	453.21
9-Aug-11	474.01
10-Aug-11	463.69
11-Aug-11	473.7
12-Aug-11	476.99
15-Aug-11	483.41
16-Aug-11	480.48
17-Aug-11	480.44
18-Aug-11	466.05
19-Aug-11	456.03
22-Aug-11	456.44
23-Aug-11	473.6
24-Aug-11	476.18
25-Aug-11	473.72
26-Aug-11	483.58
29-Aug-11	489.97
30-Aug-11	489.99
31-Aug-11	484.83
1-Sep-11	481.03
2-Sep-11	474.05
6-Sep-11	479.74
7-Sep-11	483.93
8-Sep-11	484.14
9-Sep-11	477.48
12-Sep-11	479.94
13-Sep-11	484.62
14-Sep-11	489.3
15-Sep-11	492.96
16-Sep-11	500.5
19-Sep-11	511.63
20-Sep-11	513.45
21-Sep-11	512.14
22-Sep-11	501.82
23-Sep-11	504.3
26-Sep-11	503.17
27-Sep-11	499.26
28-Sep-11	497.01
29-Sep-11	490.57
30-Sep-11	481.32
3-Oct-11	474.6
4-Oct-11	472.5
5-Oct-11	478.25
6-Oct-11	477.37
7-Oct-11	469.8
10-Oct-11	488.81
11-Oct-11	500.29
12-Oct-11	502.19
13-Oct-11	508.43
14-Oct-11	522
17-Oct-11	519.99
18-Oct-11	522.24
19-Oct-11	498.62
20-Oct-11	495.31
21-Oct-11	492.87
24-Oct-11	505.77
25-Oct-11	497.77
26-Oct-11	500.6
27-Oct-11	504.69
28-Oct-11	504.95
31-Oct-11	504.78
1-Nov-11	496.51
2-Nov-11	497.41
3-Nov-11	503.07
4-Nov-11	500.24
7-Nov-11	499.73
8-Nov-11	506.23
9-Nov-11	495.28
10-Nov-11	485.22
11-Nov-11	484.62
14-Nov-11	479.26
15-Nov-11	488.83
16-Nov-11	484.77
17-Nov-11	477.41
18-Nov-11	474.94
21-Nov-11	469.01
22-Nov-11	476.51
23-Nov-11	466.99
25-Nov-11	463.57
28-Nov-11	476.12
29-Nov-11	473.2
30-Nov-11	482.2
1-Dec-11	487.93
